Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Mongolia,1,27,69,79,203,177,155,178,225,200,266,250,324,257,255,261,260,273,441,561,549,471,399,440
Montenegro,0,0,0,0,0,0,0,196,298,303,416,510,508,545,543,470,481,523,589,584,601,792,830,820
Morocco,2161,3261,2877,3614,4221,4589,5451,6730,6894,6269,6423,7256,6508,6882,7789,6904,6383,6823,6919,6963,7414,10906,11168,12130
Mozambique,0,0,0,0,0,59,80,99,116,111,116,130,174,152,155,143,93,258,296,300,349,454,303,450
Myanmar,102,116,105,84,117,129,115,81,55,54,115,127,275,1644,1808,1934,2255,2453,2673,2553,2672,1282,1261,1500
Namibia,9,8,8,12,15,17,16,16,14,77,69,79,80,64,81,47,66,48,54,66,64,46,54,62
Nepal,111,147,678,771,823,1212,1453,1734,2727,2983,3464,4217,4793,5584,5889,6730,6612,6928,8287,8244,8108,8226,9293,11000
Netherlands,426,483,484,1121,1298,1259,1553,1630,1649,1713,1720,1789,1640,1619,1483,2298,2160,2226,2450,2234,2126,2304,2370,2448
NewCaledonia,0,0,333,448,493,512,537,491,544,509,492,594,715,724,721,613,621,621,621,621,621,621,621,621
NewZealand,215,0,233,290,322,352,335,384,421,331,371,455,462,459,535,532,528,539,509,474,428,661,577,617
Nicaragua,320,336,377,439,519,616,698,740,820,770,825,914,1016,1081,1140,1198,1268,1395,1505,1686,1855,2150,3227,4668
Niger,14,22,19,26,60,66,78,79,94,102,134,166,152,146,219,172,176,264,297,309,521,353,353,530
Nigeria,1392,1167,1209,1063,2273,14640,16932,18014,19200,18371,19745,20617,20543,20797,20999,20626,19698,22037,24311,23809,17208,19483,20128,20500
NorthMacedonia,81,73,106,174,213,227,267,345,407,381,388,434,394,376,383,327,316,345,379,355,470,490,456,485
Norway,270,279,333,392,465,505,529,617,685,631,680,765,767,791,760,609,594,616,644,616,589,672,629,593
Oman,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Pakistan,1075,1461,3554,3964,3945,4280,5121,5998,7039,8717,9690,12263,14007,14629,17244,19306,19819,19856,21193,22252,26089,31312,29871,24000
Palau,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
Panama,16,73,85,107,109,130,301,355,378,337,410,368,411,461,756,554,503,533,538,581,456,568,526,530
PapuaNewGuinea,0,0,6,7,10,7,4,8,7,5,4,12,14,14,10,4,3,4,4,29,2,12,3,3
Paraguay,152,140,99,110,132,161,336,341,363,377,410,541,634,623,507,554,657,704,683,666,584,585,592,600
Peru,718,753,705,869,1133,1440,1837,2131,2444,2409,2534,2697,2788,2707,2637,2725,2884,3051,3225,3326,2904,3608,3708,4238
Philippines,6924,8760,9735,10239,11468,13733,15496,16437,18851,19960,21557,23054,24610,26717,28691,29799,31142,32810,33809,35167,34883,36685,38049,40000
Poland,1496,1563,1685,2284,5186,7283,9563,11975,12321,10214,7712,7768,7041,7457,7468,6835,6763,7305,7603,7063,6727,7132,6435,6800
Portugal(revisingoldnumberswithBOPestimates),3712,4023,3524,3849,4385,4331,4913,5815,6414,5518,5467,6141,6566,7309,8035,7037,7129,8235,9115,9228,9692,10643,10900,11179
Qatar,0,0,0,0,0,0,0,0,0,0,0,574,803,574,499,437,379,666,467,577,652,859,1032,1200
Romania,96,116,143,124,131,952,1160,1624,1702,682,641,694,733,4806,5084,5391,5930,6556,6984,8142,7626,9116,8781,8518
RussianFederation,500,986,936,1114,2207,3437,3820,4666,5737,5105,5250,6103,5788,6751,7777,6903,6689,8235,9287,10432,9915,9647,7300,6800
Rwanda,0,0,0,0,0,0,0,0,0,0,107,174,182,170,184,159,173,215,261,261,280,391,474,554
Samoa,0,0,0,0,1,82,87,97,109,119,139,160,178,165,141,131,131,136,148,155,204,248,280,300
SanMarino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,17,18,21,21,21
SaoTomeandPrincipe,0,1,1,2,1,2,2,2,3,2,6,7,6,27,27,20,18,18,18,11,9,11,8,8
SaudiArabia,0,0,0,0,0,94,106,123,216,214,236,244,246,269,273,295,308,291,335,334,302,295,287,282
Senegal,234,305,346,512,634,789,926,1193,1482,1356,1479,1616,1576,1778,1932,1758,1981,2149,2428,2526,2607,3097,3007,2936
Serbia,0,0,0,0,0,0,0,3764,3545,4650,4117,3961,3546,4025,3696,3370,3205,3590,4446,4238,3869,4598,5601,6100
Seychelles,3,2,2,5,7,12,13,5,3,16,17,25,18,13,15,18,22,22,23,24,10,10,10,11
SierraLeone,7,6,22,26,25,2,16,42,23,36,44,59,65,70,62,48,58,64,73,177,177,232,232,232
SintMaarten(Dutchpart),0,0,0,0,0,0,0,0,0,0,0,54,56,73,62,55,61,55,51,49,39,46,49,47
SlovakRepublic,18,22,24,425,703,1211,1343,1662,2050,1672,1591,1754,1927,2072,2396,2138,2120,2164,2211,2545,2464,2429,2316,2197
Slovenia,202,198,213,231,261,261,279,320,380,173,164,210,249,314,373,400,452,502,645,663,738,827,779,780
SolomonIslands,4,5,3,4,9,7,11,13,9,13,14,17,21,21,16,19,20,16,20,25,28,51,81,85
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482,1577,1735,1735,1735,1735
SouthAfrica,325,282,268,391,468,614,692,792,784,862,1070,1158,1085,971,913,825,755,874,929,890,811,927,873,844
SouthSudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1139,1083,634,1267,80,87,1236,1187,1139
Spain(adjsutingforBOPratioestimates),2235,2413,2647,3197,3458,3876,4134,5189,6039,5287,5669,5877,6170,7525,7469,6716,6475,7384,8254,8039,7845,9492,9586,9377
SriLanka,1154,1170,1296,1423,1574,1976,2167,2507,2925,3337,4123,5153,6000,6422,7036,7000,7262,7190,7043,6749,7140,5522,3819,5400
"St,KittsandNevis",24,25,25,27,28,30,33,36,40,39,47,45,51,52,22,24,23,25,26,42,32,37,37,38
"St,Lucia",24,24,25,25,26,27,28,29,29,28,29,29,30,30,35,41,38,42,43,43,56,63,62,63
"St,VincentandtheGrenadines",19,19,20,21,21,22,26,29,27,29,29,29,31,32,44,42,45,46,46,79,63,70,90,71
Sudan,641,740,978,1224,1403,704,801,1000,1591,1394,1456,824,596,620,507,151,153,213,425,522,495,1119,1499,1000
Suriname,0,0,0,0,0,4,2,3,2,5,4,4,8,7,9,7,1,98,99,96,124,148,148,155
Sweden,438,578,512,1357,1596,1812,2245,3205,4095,3968,4061,4385,4293,4596,4561,3515,2965,3047,3092,3205,3113,3117,3289,3453
Switzerland,995,1176,1225,1533,1695,1721,1795,1796,2215,2342,2495,2615,2420,2437,2406,2517,2524,2592,2551,2549,2825,2737,2620,2521
SyrianArabRepublic,180,170,135,889,855,823,795,1030,1325,1350,1623,,,,,,,,,,,,,
Tajikistan,0,0,79,146,252,564,976,1514,2278,1566,2021,2722,3222,3698,3384,2259,1867,2237,2183,2322,2187,2922,5346,5700
Tanzania,8,15,12,9,14,19,15,25,37,40,344,410,390,382,389,388,403,403,413,433,326,326,326,332
Thailand,1697,1252,1380,1607,1622,1187,1333,1635,1898,3808,4433,5256,5657,6585,6524,5895,6270,6720,7466,8162,8257,9065,8912,9800
Timor-Leste,0,0,0,0,0,0,4,10,18,113,137,137,120,34,44,62,80,87,96,100,155,175,186,200
Togo,34,69,104,149,179,193,232,285,338,336,337,244,345,397,428,364,367,404,451,508,650,557,557,560
Tonga,0,53,62,59,65,69,78,82,103,82,74,84,91,123,119,129,126,159,183,190,191,217,217,222
TrinidadandTobago,38,41,79,87,87,92,91,109,95,109,91,162,139,145,145,155,145,135,139,144,194,234,204,177
Tunisia,796,927,1070,1250,1431,1393,1510,1716,1977,1964,2063,2004,2266,2291,2347,1971,1821,1890,1696,1782,2270,2970,2815,2700
"Türkiye,Rep,of",4560,2786,1936,729,804,1368,1833,2096,2439,1834,1819,1883,1881,1901,1739,1385,1186,1048,1128,848,810,724,694,1000
TurksandCaicosIslands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,8,7,0,0,0,0,0
Tuvalu,0,4,7,5,5,5,4,6,6,5,4,5,4,4,3,3,3,3,3,2,2,3,2,3
Uganda,238,349,442,299,311,322,411,452,724,781,771,816,913,941,888,902,1146,1166,1338,1425,1062,1083,1270,1295
Ukraine,419,829,1192,1523,1873,2408,3102,5290,6782,5941,6535,7822,8449,9667,7354,8474,9472,12132,14694,15788,15213,18060,16783,15700
UnitedKingdom,5074,4956,5235,5689,5938,6045,6106,6556,5995,5243,4951,5099,4945,4805,4937,5003,4582,4309,4390,4215,3248,3460,3877,3933
UnitedStates,4395,4513,4570,4672,4734,4795,5068,5219,5364,5740,5930,6104,6303,6613,6503,6578,6330,6347,6941,7049,6827,7151,7431,7223
Uruguay,0,0,36,62,70,77,89,96,108,101,125,129,92,99,98,90,90,109,114,112,111,126,125,122
Uzbekistan,0,0,0,0,0,1029,1421,1709,3632,2180,3438,4910,6090,6443,6815,4843,5795,7130,7610,8546,7084,9277,16736,16100
Vanuatu,14,18,4,4,5,5,5,6,9,11,12,22,22,24,51,50,60,107,143,189,144,153,170,177
"Venezuela,RB",17,19,19,208,143,148,165,151,137,132,143,138,118,120,128,161,279,,,,,,,
Vietnam,1585,1100,1767,2100,2919,3150,3800,6180,6804,6018,7569,8326,7912,9429,9794,8051,8556,9406,10191,10885,10715,12722,13200,14000
WestBankandGaza,864,806,772,310,399,378,464,599,741,755,927,1142,1737,1489,1805,1817,2087,2379,2834,3153,2560,3760,4049,3800
"Yemen,Rep,",0,0,0,0,0,1283,1283,1322,1411,1160,1526,1404,3351,3343,3351,3351,3771,3771,3771,3771,3771,3771,3771,3771
Zambia,0,0,0,36,48,53,58,59,68,41,44,46,73,54,58,47,38,94,107,98,135,240,243,250
Zimbabwe(usingCBdatafor2021&2022),0,0,0,0,0,0,0,0,0,1206,1413,1919,2114,1890,1904,2047,1856,1730,1428,1417,1832,2574,3085,3116
Low-andMiddle-IncomeCountries,70707,79668,94503,117834,135732,191298,224363,273046,319392,303269,338634,381776,402145,420912,441735,441258,434790,475006,521187,547018,541366,598924,644770,669300
World,120317,131844,155714,189621,219039,284061,327331,394733,458583,434515,470037,527309,545825,580613,608352,596400,590588,640467,695414,726825,716838,792162,835599,860263
