"Bilateral Remittance Estimates for 2021 using Migrant Stocks, Host Country Incomes, and Origin Country Incomes (millions of US$) (December 2022 Version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remittance-receiving country (across)                                                              -                                                 Remittance-sending country (down) ,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,WORLD
Costa Rica,0,0,0,,,0,,1,0,0,0,1,0,,,0,,0,10,0,0,1,0,1,,,1,,0,,,,0,0,1,0,,,,0,1,68,,0,,,0,0,,,0,,0,,0,8,5,0,63,,,0,0,0,,0,0,16,,0,,0,12,0,0,,0,,29,,,0,0,26,2,0,0,0,0,,0,0,,4,8,1,2,0,0,0,,,1,,,,0,0,1,,,,,0,0,0,0,,0,0,,,,,,16,,0,,0,,0,0,0,,0,2,,0,922,,0,0,,0,0,0,,51,,0,10,1,1,0,,0,0,1,0,,,,0,0,,,,,,0,,,0,0,,15,0,0,0,,0,0,0,2,4,,,0,0,,,,0,0,0,,,,0,1,,0,35,0,,,,0,,,,,0,1325
United Arab Emirates,1,,,,,,,,,,,,,,,3881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8094,,,,,,6,,,,271,,,,,,,,,,,,,,,,,,,,19821,701,,,,,,,,,1115,,,,,,,7,,,,326,,,,,,,,,,,,,,,,,,,,,,,32,,,,106,8,,,,,219,,,,,5988,,,,,,3469,,,,74,,,,,,,6,,,,,,,,,,16,,68,,356,,,,,103,,,,,,,108,,,,,15,8,,,,,,,22,36,,,,,,,68,,,,44926
Belgium,2,17,25,,,0,0,3,5,1,2,21,1,,,9,,1,,0,1,2,0,2,1,0,40,,22,1,3,2,2,20,3,0,,,,1,112,24,0,148,,1,3,4,,,3,4,12,5,0,21,27,48,13,,,3,0,3,,0,7,2812,,0,5,3,429,60,13,,0,,10,17,1,0,6,3,,39,1,153,8,,6,1,,74,377,2,30,10,0,14,,,16,1,0,2,0,7,69,0,2,,,3,407,,9,0,1,0,2,1,0,5,5,15,,7,,5,0,796,1,0,0,16,328,,0,2,8,92,2,,4,0,80,0,1,0,0,10,73,114,90,,4,220,8,26,0,,0,1,35,3,0,4,,,10,1,0,14,5,,304,6,,0,,0,1,3,30,24,,0,2,84,0,16,0,0,42,21,,,,2,12,,17,37,0,,0,,46,,5,,1,1,7860
Panama,,,,,,,,3,,,1,1,,,,0,,,9,0,,,,1,,,5,,0,,,,,,1,,,,,0,99,140,,,,34,,1,,,,0,1,,0,59,11,1,16,,,,,,,,0,18,,,,0,7,,0,,0,,19,,,0,1,11,0,0,,25,0,,,0,,28,5,2,3,1,,,,,2,,,,,,4,,,,,0,,,,,0,,,,,,,25,,,,,,0,,0,,,1,,0,44,,0,,,0,,0,,,,0,11,10,0,1,,,0,1,,,,,0,,0,,,,,0,,,,0,,25,,,,,,,,2,2,,,,1,,,,0,,0,,,,,2,,2,39,0,,,,0,,0,,,,680
Virgin Islands (U.S.),,,,,,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,,,,,,,,,,,1,,,,,,,,,3,39,,,,,,,,,,,87
Chile,,,,,,,,65,,,,,,,,,,,,,,,,193,,,37,,,,,,,,,,,,,,70,473,,,,,,,,,,,,,,221,146,,,,,,,,,,,135,,,,,41,,,,,,,,,,481,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,4,528,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,39,2,,,,,,,,,,2619
Singapore,,,,,,,,,,,16,,,,,325,,,,,,,,,,,,,,,,,,,3,,,,,,2251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,949,387,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,992,,,,,,,,,,,,,,,,,,,,0,,,,,,,,889,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,166,,,,,,,,,,,,,,40,,,,,,,,,,,6191
Poland,0,0,1,,,0,,0,5,,2,31,0,,,0,,77,187,,,,,0,6,,1,,1,,,,0,0,2,,,,,0,7,0,,,,0,,5,,,1,25,6,,,0,0,5,,,,1,,0,,,1,502,,,,1,543,0,3,,,,,0,,0,,,,8,3,6,0,,0,2,,9,41,,4,1,0,1,,,1,,0,1,,7,3,,,,,81,8,,,,0,,0,,,,,1,,1,,2,0,1,0,,,0,9,,0,,,6,0,,7,,1,,0,,,0,1,,0,,1,7,45,,,,,0,0,7,,,,,9,1,,,0,,36,0,,,,,0,,17,6,,1,0,1,,,,,1,0,,,,0,812,,34,42,0,,,,18,,,,0,0,2663
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,10,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,2,,,,,,219
Norway,2,4,1,,,0,0,1,1,0,4,12,1,,,7,,1,57,0,0,1,0,1,22,0,16,,4,0,0,1,1,1,2,0,,,,1,66,21,0,1,,1,0,27,,,1,10,123,0,0,7,4,14,1,,,14,0,6,,0,21,115,,0,7,1,163,13,3,,0,,6,0,0,0,0,1,0,22,35,101,4,,8,0,,21,19,1,11,5,0,22,0,,28,40,0,1,0,43,27,0,2,,,55,5,0,2,0,1,0,0,0,,0,0,9,,4,,1,3,24,0,3,0,11,24,,0,1,0,33,3,,,0,143,,0,0,0,5,161,162,10,,3,36,19,2,0,,0,1,2,43,0,1,,,21,2,0,54,2,3,52,29,0,0,,0,4,0,478,11,,1,3,207,0,0,0,0,3,3,,,,7,23,,17,46,0,,,,86,,4,,1,1,2990
China,,,,,,,,,,,6,,,,,8,,,,,,,,,,,107,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,30,56,,,,,,,,34,,,,,,495,,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,22,276,,,,,,2,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,85,,,,,,,,,,,,,5,48,,,,,1366,,,,,,2671
Colombia,,,,,,,,5,,,,,,,,,,,,,,,,2,,,9,,,,,,,,1,,,,,1,7,,,,,6,,,,,,,,,,6,62,,3,,,,,,,,,46,,,,,12,,,,,,8,,,,,4,,,,,,,,,,,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,2,,,,,,,,,,,,12,,,12,,,,,,,1,,,,,,,,,,,,,,,,,,97,,,,,,,,,3,,,,,,,,,,,,,,,,,1,48,0,,,,,,,,,,383
Brazil,0,,0,,,0,,30,0,,1,18,,,,14,,0,58,0,0,,,68,0,,,,0,0,0,2,0,0,1,,,,,2,104,22,,4,,2,0,3,,,,2,3,,0,7,7,29,1,,,1,,0,,,2,190,,0,,0,111,10,1,,0,,3,0,2,2,57,1,,9,3,5,2,,0,0,,53,147,0,401,7,0,0,0,,37,,0,,0,1,95,,0,,,1,2,,0,0,0,0,0,0,,,,14,,,,,0,2,1,0,0,0,11,,0,1,0,33,0,,3,0,9,0,2,,31,39,2,6,398,,,4,2,0,,,0,0,19,3,0,0,,,1,1,,,2,,222,,0,0,,0,,0,8,16,,0,0,4,0,0,,0,0,0,,,,0,2,,5,52,10,,,,1,,,,,0,2428
Greece,3,542,0,,,0,0,1,27,,31,14,1,,,8,,1,142,0,0,0,,0,1,0,4,,36,0,0,0,0,1,8,,,,,0,15,1,0,6,,0,0,2,,,93,19,5,0,0,4,0,229,0,,,0,0,1,,,2,100,,0,0,253,629,3,,,,,0,0,,0,0,0,,8,0,49,1,,4,0,,15,20,0,3,5,2,3,,,1,,0,2,0,1,14,,0,,,1,4,,0,,0,,0,0,,0,0,2,,19,,0,,6,0,0,0,0,10,,0,0,0,32,2,,2,0,43,0,1,0,0,1,45,22,1,,31,95,49,0,1,,0,0,2,21,0,0,,,4,1,,4,7,,7,2,,,,0,1,0,53,16,,0,1,3,1,0,,0,1,7,,,,0,58,,13,54,0,,1,,1,,4,,0,1,2947
Sweden,5,12,3,,,0,0,4,7,,8,35,6,,,45,,3,94,0,0,2,0,8,89,0,25,,5,0,1,1,1,2,3,,,,,3,190,41,0,11,,2,0,60,,,4,11,191,2,0,6,11,91,15,,,27,0,12,,0,387,187,,0,26,8,287,20,14,,0,,10,1,0,0,0,3,0,79,28,264,7,,44,1,,60,47,1,25,36,0,41,0,,41,42,0,6,0,33,223,0,2,,,21,12,,1,0,1,0,0,1,0,0,0,17,,3,,31,9,43,1,1,0,5,34,,0,4,0,102,10,,142,0,141,0,1,0,0,21,98,141,11,,11,72,22,2,0,,0,6,5,87,0,2,,,12,7,0,112,4,2,80,23,0,0,,0,6,0,,19,,3,5,376,0,1,0,0,15,11,,,,14,42,,24,56,1,,0,,117,,10,,1,2,4965
Turkey,8,5,8,,,0,,0,7,,8,150,127,,,4,,3,801,0,0,,,0,2,0,2,,173,0,0,,0,1,2,,,,,0,94,2,0,1,,0,0,1,,,2,3,26,5,0,1,0,250,0,,,1,0,1,,,4,547,,0,2,87,1577,6,19,,,,0,0,0,,0,0,,4,0,13,12,,83,0,,34,14,0,15,98,3,6,,,11,8,1,110,,1,56,,0,,,1,2,,0,0,1,0,1,0,,1,0,2,,28,,9,3,48,0,0,0,6,89,,0,0,1,90,34,,13,0,45,,0,,0,0,24,3,1,,83,18,50,0,,,,43,7,10,,0,,,2,1,,18,1,0,9,0,0,,,,2,0,61,64,,27,1,16,,0,,0,9,,,,,2,87,,25,61,0,,,,1,,14,,0,1,5423
Ecuador,0,0,0,,,0,,5,0,,1,4,,,,,,,24,,,,,2,,,5,,0,,,,,0,1,,,,,1,13,521,,,,4,,0,,,,1,1,,,2,,1,2,,,,,,,,0,34,,,0,,25,0,0,,,,4,,,,0,2,0,1,,1,0,,0,0,,11,13,0,5,0,,,,,3,,,,,,3,,,,,,,,,,0,,,,,,,10,,,,,,0,,,,,2,,0,1,,0,0,,1,,0,,4,,0,29,1,0,1,,,1,1,,,,,0,,,,,,,0,,,,0,,44,,,,,,,,4,9,,,,,,,,0,,,,,,,1,,2,65,0,,,,0,,0,,,,868
India,1,,,,,,,,,,6,,,,,5747,,,,,,,9,,,,,,,,,,,,3,,,,,,454,,,,,,,,,,,,,,,,,,,,,,,,,1,,25,,,,,13,,,,,,,,,,,,,,,,2,,0,,,,,,12,,0,37,,,,,1,,,,,,,,,,,,,,10,1,,,,,0,,,,,,,,,25,,1583,,,,,,8,,,,,,,,,,,,,1,,,,1,,,,,12,,,,,,,,,,,,,,436,,,,,,,,,,,,,,,,,,0,,,,54,,,8,76,,,,,6,,,,1,,8533
Ireland,0,0,1,,,0,0,0,0,0,12,6,0,,,14,,1,52,0,0,5,0,0,1,0,27,,1,0,0,0,0,0,4,0,,,,0,73,,,0,,0,0,3,,,1,31,6,,,0,0,6,0,,,9,0,0,,0,3,194,,0,0,1,91,3,1,,0,,2,0,,0,0,0,1,46,0,136,0,,0,,,5,30,0,4,1,0,5,,,1,,0,0,0,92,1,0,0,,,57,5,,0,0,4,0,0,1,,0,6,2,,9,,2,,1,0,0,0,1,15,,0,0,1,372,1,,1,0,67,,0,0,0,0,113,223,7,,1,50,7,0,0,,,0,0,,0,0,,,75,1,0,1,11,,54,1,0,0,,0,1,0,21,3,,0,0,5,0,0,,0,0,0,,,,0,18,,236,82,0,,,,4,,0,,1,10,2351
New Zealand,0,,,,,,,4,,,130,12,,,,8,,,,,,,,,,,17,,,,,,9,,9,,,,,1,671,8,,,,,,9,,,,12,11,,,,,15,,,,,,1,,133,,153,,,,,134,,,,,,,,,,,,5,8,,631,15,,2,3,,,12,,103,,,14,8,,111,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,2,,13,54,,,,,,,,,,32,,,0,,,397,4,,,,5,7,,105,,,2,,6,,,,,,,,2,73,,,41,,,,,,,25,19,,,,90,,,75,,,,,,,,6,,212,83,,,,,50,,,,2,19,3590
Netherlands,3,4,4,,,0,0,5,12,18,18,46,9,,,8,,3,1739,0,0,4,0,2,36,0,57,,20,0,1,20,1,2,7,0,,,,0,382,52,0,9,,4,1,37,,,6,29,20,0,0,67,12,153,3,,,5,0,10,,0,11,486,,0,6,12,666,84,15,,0,,11,3,1,2,4,5,,87,3,277,237,,14,2,,135,125,4,46,12,0,30,0,,29,19,0,2,0,23,40,1,3,,,11,52,,1,1,3,0,0,2,0,1,1,31,,8,,3,10,609,1,1,1,7,,,0,2,1,122,4,,11,1,89,0,2,0,0,13,100,245,49,,10,77,23,2,0,,0,3,6,58,0,6,,,40,9,0,41,22,0,200,31,0,0,,0,5,99,53,35,,2,4,135,0,3,0,0,13,42,,,,7,46,,46,85,0,,0,,83,,1,,2,5,7780
Philippines,0,0,0,,,0,,0,0,0,6,3,,,,0,,,15,,,,,0,,,0,,,,,0,0,,4,,,,,0,161,0,,0,,0,,,,,,,2,,,,2,1,,,,,,,,,0,19,,,,,22,0,0,,,,0,,,,,,0,1,0,44,6,,0,0,,13,6,,94,1,,0,,,25,,0,,0,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,0,,0,1,,0,,,2,,,2,1,2,0,,0,,0,,0,0,,4,0,0,,,,,1,,,,,,,,,,,1,,8,0,,,,,0,0,6,5,,,,3,1,,,,1,0,,,,,,,3,87,,,,,2,,,,,,563
Switzerland,2,8,10,,,0,0,10,3,,11,373,2,,,11,,2,498,0,0,,0,9,89,0,102,,7,1,0,5,4,8,8,,,,,1,141,48,0,15,,5,2,136,,,3,70,28,1,0,89,34,63,5,,,3,0,5,,0,16,2700,,0,5,4,1991,17,12,,0,,14,2,2,0,6,6,,134,2,144,9,,4,1,,92,882,3,54,7,0,33,0,,15,420,0,3,0,10,63,0,1,,,4,68,,9,0,2,0,1,1,0,0,5,42,,8,,7,19,74,2,0,0,5,60,,0,3,1,60,75,,7,0,35,0,2,0,1,29,96,68,632,,3,65,26,2,0,,0,1,17,360,0,1,,,118,39,0,15,9,0,522,109,0,0,,0,2,0,96,,,2,2,185,0,6,0,0,34,18,,,,2,40,,37,93,1,,0,,72,,0,,1,3,11663
Peru,,,0,,,0,,22,,,2,2,,,,,,,32,,,,,38,,,30,,0,,,,,,3,,,,,2,134,36,,,,2,,1,,,,1,2,,,2,40,0,1,,,0,,,,,0,108,,,,,52,,0,,,,3,,,,0,2,,1,0,11,0,,0,0,,20,24,,41,0,,,,,11,,,,,,1,,,,,,1,,,,0,,,0,,,,25,,,,,,0,,,,,3,,0,1,,,,,1,,1,,2,,1,,3,1,1,,,1,1,,,,,0,,,,,,,,0,,,0,,69,,,,,0,,,5,6,,,,0,,,,,,0,,,,,1,,4,95,0,,,,,,,,,,847
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,15,,,,,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,257,,,,,,,,87,,,,,,,,,,13,,,,,,,,,,,,151,,,,,,,,,,,,,,,398,,82,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,24,104,,,,,113,,,,,,2191
Italy,1,647,19,,,0,0,60,1,,29,95,1,,,471,,3,1197,0,2,3,0,25,5,0,267,,26,9,0,10,2,12,14,0,,,,1,1215,123,0,10,,7,13,10,,,2,5,15,0,0,309,299,1157,86,,,1,0,12,,0,8,1791,,0,86,8,1069,255,11,,0,,25,11,6,0,2,25,,60,1,892,8,,2,1,,99,,1,57,18,0,32,0,,17,7,0,2,0,4,58,0,4,,,2,125,,9,0,1,0,27,5,,1,12,48,,97,,2,0,1492,1,0,0,8,32,,0,5,4,1244,14,,7,0,727,0,4,0,2,279,843,141,17,,7,1900,21,1,0,,0,1,494,4,0,3,,,7,5,0,15,6,0,239,264,0,0,,0,2,0,59,816,,0,4,91,,14,0,0,254,4,,,,2,137,,49,124,2,,1,,33,,0,,1,2,20441
Spain,0,3,52,,,0,0,254,25,,7,72,1,,,46,,4,1103,0,0,,0,258,4,0,259,,91,1,0,9,0,5,3,,,,,7,813,1291,0,3,,17,1,13,,,4,59,76,0,1,1170,1586,46,52,,,10,0,2,,0,45,3090,,0,69,33,1036,85,5,,1,,102,9,15,0,2,647,,82,9,220,5,,1,5,,80,607,1,40,18,0,14,0,,19,,0,2,0,30,32,0,2,,,31,27,,2,0,1,0,34,2,0,13,0,272,,47,,3,1,2495,2,0,0,14,140,,0,130,1,347,1,,56,0,439,,22,0,52,505,270,140,315,,5,2005,84,0,0,,0,2,259,26,0,2,,,62,11,0,0,4,,,2,0,0,,0,0,0,283,275,,1,1,22,,1,0,0,8,1,,,,1,323,,275,126,28,,,,11,,3,,0,1,22849
France,3,44,1447,,,1,0,13,73,0,13,64,9,,,64,,4,4441,0,14,10,0,6,23,0,198,,16,15,1,51,89,94,17,,,,,2,571,113,225,164,,3,57,41,,,5,39,24,29,9,48,27,304,6,,,4,0,6,,0,11,,,8,9,62,1028,40,10,,,,37,62,16,8,269,5,0,49,2,327,14,,4,2,,176,998,2,137,10,0,15,0,,72,,0,3,10,12,399,0,2,,,5,442,0,523,0,2,0,154,2,,39,86,79,,68,,9,9,3416,2,0,0,5,98,,0,2,29,233,9,,16,0,174,,2,0,1,36,128,130,1452,,5,297,71,12,0,,0,2,705,460,0,2,,,25,10,0,12,8,,1601,155,0,8,,0,15,29,86,413,,2,2,187,0,64,0,0,1058,69,,,,2,57,,122,133,1,,20,,758,,1,,1,2,25738
Japan,,,,,,,,3,,,18,4,,,,50,,,23,,,,,,,,421,,,,,,5,,7,,,,,,3604,,,,,,,,,,,,4,,,,,16,,,,,,,,,2,198,,,,,40,12,,,,,,,,,,,,,,184,117,,,0,,,14,,,,,,,,1558,,,,,,,,,,,,,,,,8,,,,,,,12,,,,,,,,,,,3,,0,,,38,,,2,,87,,,,,116,1545,2,1,,,,8,,,,,,,,,,,,,,,,,,20,71,,,,,,,17,6,,,,423,,,,,,,,,,,,,13,135,,,,,1720,,,,,,10508
"Korea, Rep.",,,,,,,,,,,9,,,,,39,,,,,,,,,,,,,,,,,65,,12,,,,,,3760,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,11,,,,,,,,,,,,,,,32,103,,,,,,,,146,,0,,,,,,,8,,,,,,,,,,,,,1,,,,,,,,,,,171,,,,19,,137,,,0,,,23,,,,,58,,,,,,369,,,,,,5,,,,,,,,,,,,,,,,2,,,91,,,,,,,,,,,,1280,,,,,,,,,,,,,4,157,,,,,919,,,,,,7461
Israel,0,,11,,,,,30,,,6,21,18,,,,,18,207,,,,,,,,24,,5,,,,,,6,,,,,0,6,10,,,,,,,,,6,,6,,,,,112,,,,,,39,,,1,953,,,,28,90,,1,,,,,,,,,,,37,,91,,,13,,,,19,,,,1,,,,,,,9,,13,,,,,,5,,,,,,,,,,,,16,,21,,,,420,,,,,13,,,,,,,,,,,,,,,7,20,41,,,,137,102,,,,,,,,,,,,,,,,11,,13,,,,,,,,16,19,,10,,,,,,,59,4,,,,,403,,19,234,2,,,,,,,,,,3354
Australia,5,5,2,,,0,0,19,3,0,,99,1,,,192,,2,215,0,0,44,15,2,50,2,112,,2,0,1,0,50,1,34,1,,,,4,3369,118,0,13,,2,0,262,,,80,52,48,1,0,2,11,410,51,,,10,1,8,,170,24,617,,0,1,2,599,40,71,,0,,7,1,0,1,0,3,48,90,3,3908,196,,29,21,,259,565,4,309,54,0,198,3,,388,5,1,3,2,15,719,1,7,,,4,8,0,1,3,144,1,0,114,0,0,47,36,,2,,38,12,9,1,30,2,467,183,,13,3,0,188,45,,15,3,551,0,1,2,0,32,1822,75,44,,56,35,27,2,64,,0,13,2,163,1,6,,,35,33,37,15,205,34,117,420,0,0,,0,14,0,111,61,,1,12,685,56,1,43,1,2,9,,,,11,55,,880,254,4,,92,,1444,,3,,12,105,22685
Germany,24,120,23,,,0,0,18,56,,24,1165,40,,,61,,23,816,0,2,,0,10,327,0,152,,211,2,0,1,4,24,13,,,,,2,752,74,0,17,,8,3,2058,,,12,2609,107,1,0,82,37,359,8,,,35,0,12,,1,51,2081,,0,76,105,,227,252,,0,,26,18,4,0,5,12,0,1020,7,951,49,,83,4,,426,2070,8,238,93,87,130,0,,128,923,0,384,1,143,669,0,4,,,74,656,0,14,0,6,0,6,2,0,1,3,95,,74,,38,153,441,3,2,1,32,375,,0,6,5,1043,128,,34,1,459,0,3,0,4,51,373,3174,332,,34,1799,1129,3,0,,0,4,31,1241,0,7,,,334,208,0,82,21,3,1112,150,0,0,,0,6,0,222,407,,191,5,700,0,38,0,1,112,379,,,,7,936,,65,275,1,,0,,680,,6,,2,8,37363
Puerto Rico,,,,,,,,1,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,0,5,11,,,,3,,,,,,,,,0,279,1,0,0,,,,,,,,,1,,,,,1,,,,,,3,,,0,0,3,,,,0,,,,,,0,0,0,0,0,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,8,,,,,,,,,,,0,,,0,,,,,,,,,2,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,0,,,,0,,0,,,,,,,0,368,,,,,0,,,,,,709
United Kingdom,4,53,20,,,0,4,10,3,1,235,132,3,,,818,,3,842,4,0,355,0,5,14,4,211,,61,0,1,2,2,7,56,9,,,,1,1238,100,0,28,,3,3,40,,,234,183,154,1,7,25,30,315,6,,,37,5,7,,13,59,2465,,0,40,8,1672,668,47,,13,,10,2,4,26,1,5,56,452,1,4458,22,,19,87,,414,755,384,195,37,0,1018,1,,42,,1,3,0,273,126,3,6,,,175,91,,4,33,51,0,0,86,,0,63,45,,66,,7,7,78,8,10,3,225,159,,2,1,1,2765,3,,71,5,2942,,3,0,1,18,958,1217,412,,65,774,60,7,1,,0,30,8,47,1,37,,,374,17,5,214,248,,937,359,8,10,,17,23,0,328,103,,2,99,388,14,3,1,19,14,20,,,,172,103,,,394,1,,4,,184,,,,50,375,33690
Canada,4,22,61,,,0,2,18,9,1,35,106,6,,,209,,10,554,5,1,148,5,8,56,1,66,,10,1,3,0,31,17,,2,,,,3,3310,223,0,44,,17,5,201,,,19,97,67,8,2,74,62,597,229,,,10,1,17,,56,29,1689,,0,3,9,847,127,46,,11,,199,5,0,78,258,58,102,188,3,3834,32,,21,7,,605,805,474,192,90,1,217,,,459,,2,13,3,22,702,0,5,,,7,20,1,13,1,21,,3,23,,2,26,400,,38,,9,12,251,2,6,1,54,248,,0,34,4,585,10,,15,3,1209,,11,0,6,77,3668,231,355,,75,204,79,11,0,,,18,36,182,0,5,,,82,41,,43,49,21,67,402,2,6,,19,8,1,69,89,,8,50,132,,8,0,45,45,6,,,,33,248,,401,631,3,,,,960,,10,,6,25,29031
Mexico,,,0,,,0,,13,0,,1,4,,,,0,,,26,4,,,,2,,,13,,0,,,,,0,6,,,,,1,41,53,,0,,12,0,0,,,,2,1,,,18,12,2,62,,,,,,,,0,154,,,,,39,,0,,,,418,,,,11,213,,2,,9,0,,0,0,,44,20,0,26,0,,0,,,7,,,,,0,4,,,,,0,,,,,0,,,,,,,,,,,,,1,,,,,4,,0,11,,2,,,1,,1,,7,,0,11,3,1,1,,,1,2,,,,,0,0,0,,,,,1,0,,,0,,141,,,,,,,,7,7,,,,1,,,,0,,0,,,,,1,,3,1845,1,,,,0,,0,,,,3275
